title,video_id,published_at
기초부터 차근차근 수어교실 8과(구입),pn79E_q59YU,2024-03-21T14:15:02Z
기초부터 차근차근 수어교실 7과(첫만남),9-aztxy6Xjw,2024-03-03T03:00:04Z
기초부터 차근차근 수어교실 6과(성격),Yx9S302wy7Y,2024-02-12T11:30:16Z
기초부터 차근차근 수어교실 5과(칭찬하기),xCPWpHmxeuw,2024-01-07T14:40:00Z
기초부터 차근차근 수어교실 4과(연말/연시 인사),J3JbVb9_H0E,2023-12-31T14:00:11Z
슈가 Agust D 콘서트 수어버전,uKzkKlVqCR0,2023-10-02T13:44:34Z
기초부터 차근차근 수어교실 3과(대답유형),4jjddMdBAYo,2023-08-14T11:00:06Z
기초부터 차근차근 수어교실 2과(수어로 근황나누기),UxDU2vDCahc,2023-06-13T23:00:10Z
기초부터 차근차근 수어교실 1과(안녕하세요 만나서 반갑습니다),2hOp1eaWxE4,2023-06-04T01:00:01Z
기초수어[작다/크다] 분류사 배우기,2EfxbD0yCgg,2023-04-28T10:00:02Z
기초수어[가다] 여러가지 표현 익히기,yndA9TOALDc,2023-04-12T10:00:43Z
기초수어[많다] 분류사 배우기,_7B_NkJ8zW0,2023-04-05T10:00:24Z
봄바람 휘날리며~~,oe5-hbhZP9E,2023-04-02T12:38:40Z
기초수어[말하다] 여러가지 표현 익히기,tx61biEgUdg,2023-03-29T10:00:40Z
기초수어 [듣다] 여러가지 표현 익히기,MxinWlpWk1Y,2023-03-22T10:00:16Z
"사랑하는 사람들과 함께하는 소중한 일상(엄마,할머니 수어 가르쳐드리기)",fYOoT5KL9Uk,2023-03-15T12:30:21Z
기초수어 [보다2] 관용표현,HlpWGoaztaA,2023-03-08T13:00:20Z
기초수어 [보다] 여러가지 표현 익히기,TUUSe-6e7QY,2023-02-17T10:00:31Z
수위(손의위치)로 알아보는 수어단어 '볼형',g36GyFZKo8A,2023-01-20T10:00:21Z
수위(손의위치)로 알아보는 수어단어 '귀형',mEMygKRcW04,2023-01-13T10:00:24Z
수위(손의위치)로 알아보는 수어단어 '관자놀이형',1UeucK7iFM4,2023-01-06T10:00:02Z
2023 새해인사,TFRqbkpHEl0,2022-12-31T17:25:57Z
수위(손의위치)로 알아보는 수어단어 '목형',vdyp1Uo_oLI,2022-12-30T10:30:19Z
수위(손의위치)로 알아보는 수어단어 '턱형',P37jG76Navo,2022-12-22T10:00:19Z
수위(손의위치)로 알아보는 수어단어 '입형',U5SA_RtanjA,2022-12-10T08:45:00Z
방탄소년단 부산콘서트( BTS 'Yet To Come' in BUSAN ) 수어통역 가다,ORg6D5AVt1g,2022-10-26T10:00:13Z
수위(손의위치)로 알아보는 수어단어 '코형',U5meS1YETL8,2022-10-03T13:30:15Z
수위(손의위치)로 알아보는 수어단어 '눈형',qqIo3KYLKV4,2022-09-25T11:30:12Z
수위(손의위치)로 알아보는 수어단어 '이마형',e-PkM4PdKUs,2022-09-11T01:00:19Z
"수형으로 알아보는 수어단어""새끼손가락(양손)""",J0fjms5SsFA,2022-06-26T10:00:24Z
"수형으로 알아보는 수어단어""엄지형(양손)""",PRzYe_xUEGY,2022-06-17T12:00:17Z
비오는 날에는 라면이쥐~♥,S-7FTuNROiE,2022-06-15T06:26:27Z
"수형으로 알아보는 수어단어""가위형(양손)""",BaaW1c9Zzzo,2022-06-08T23:00:05Z
3살짜리 조카에게 수어를 가르쳐보았어요,Pqc0KOFkXDE,2022-06-05T02:37:03Z
"수형으로 알아보는 수어단어""보자기형(양손)""",Ual-wtch_g4,2022-05-24T14:30:05Z
"수형으로 알아보는 수어단어""주먹형(양손)""",368Q5FyRPVM,2022-05-12T14:30:01Z
"수형으로 알아보는 수어단어""검지형(양손)""",LFUvVnuhm3Q,2022-04-23T15:06:24Z
"수형으로 알아보는 수어단어""새끼손가락형""",NPbWjOd16vk,2022-02-14T14:30:02Z
"수형으로 알아보는 수어단어""엄지형""",LKcsNJgFniI,2022-02-03T11:00:11Z
한국수어의 날 축하해주세요^^,jbzIvbnTqhY,2022-02-03T06:48:15Z
"수형으로 알아보는 수어단어""가위형""",zV33bIQxV4A,2022-01-27T11:00:29Z
"수형으로 알아보는 수어단어""보자기형""",K4X7CaTAe5A,2022-01-19T12:00:09Z
"수형으로 알아보는 수어단어""주먹형""",IlurtmLtocw,2022-01-12T13:00:15Z
"수형으로 알아보는 수어단어""검지형""",A2gYliSYd5A,2022-01-04T23:00:09Z
메리크리스마스~♡ 와인은 수어로?,vdxgraWGFW0,2021-12-24T14:03:48Z
"문장으로 수어를 배워요 ""하루 5문장"" 11차시Learn Korean Sign Language(KSL),5 sentences-Lesson 11",UlqATuysbkU,2021-12-19T10:30:12Z
수어로 파닭 표현하기,mYURk0VIwGo,2021-11-28T12:34:38Z
"기초수어 16과 ""감정표현"" Basic Sign Language Lesson 16 ""emotion""",lfpTa1YaxQM,2021-11-14T12:00:18Z
"수어로 전하는 힘나쏭 ""빛나는 너이니까""",EZAzhlNH4n8,2021-10-14T11:00:06Z
"기초수어 15과 ""가을"" Basic Sign Language Lesson 15 ""fall""",Eb4Vli8ovZA,2021-09-24T10:00:07Z
"문장으로 수어를 배워요 ""하루 5문장"" 10차시Learn Korean Sign Language(KSL),5 sentences-Lesson 10",L-hbxN2Zs9g,2021-09-03T10:00:20Z
"문장으로 수어를 배워요 ""하루 5문장"" 9차시Learn Korean Sign Language(KSL),5 sentences-Lesson 9",3RTwAx3d3P0,2021-08-27T10:00:01Z
수어로 접속사는 어떻게 표현할까?,Q_YeAH8nOuY,2021-08-09T10:00:10Z
"문장으로 수어를 배워요 ""하루 5문장"" 8차시Learn Korean Sign Language(KSL),5 sentences-Lesson 8",42pK4IVt_2s,2021-07-30T10:00:08Z
특수교사 임용고시 수어문제 출제된다고?,XVuKKmm8YSk,2021-06-17T11:30:05Z
중간평가 기초수어단어 (7과~11과) Sign language evaluation (Lessons 7~11),XlH38VtyjUY,2021-06-10T11:15:03Z
"기초수어14과 ""식물"" Basic Sign Language Lesson 14 Plants",y-Mb2j3DXOk,2021-06-02T11:30:07Z
"어디서, 어떻게, 왜 수어배우기 Where, how, why? Learning sign language",jR7oSFpRDsY,2021-05-25T11:00:16Z
구독자 만명 이벤트 당첨자 발표!,LY9OU42sLcY,2021-05-18T23:00:04Z
"구독자 만명 이벤트~! Subscriber 10,000 Events~!",_zBlvXmg-i0,2021-05-10T13:36:50Z
"기초수어 13과 ""운동"" Basic Sign Language Lesson 13 Exercise""",aLsqJFh7Mtg,2021-02-21T23:30:01Z
"문장으로 수어를 배워요 ""하루 5문장"" 7차시Learn Korean Sign Language(KSL),5 sentences-Lesson 7",m6wjy6E3ZC8,2021-01-26T23:00:32Z
"문장으로 수어를 배워요 ""하루 5문장"" 6차시Learn Korean Sign Language(KSL),5 sentences-Lesson 6",TT9M1nQ6g7g,2021-01-13T10:00:07Z
"문장으로 수어를 배워요 ""하루 5문장"" 5차시Learn Korean Sign Language(KSL),5 sentences-Lesson 5",-yM4jf3IRxc,2020-12-26T12:15:01Z
"기초수어 12과 ""색상"" Basic Sign Language Lesson 12 ""color""",ymyajlSbO5M,2020-12-18T11:30:06Z
"기초수어 11과 ""교통"" Basic Sign Language Lesson 11 ""traffic""",oAWLGMGhO0Y,2020-12-10T11:30:05Z
"문장으로 수어를 배워요 ""하루 5문장"" 4차시Learn Korean Sign Language(KSL),5 sentences-Lesson 4",JQnGwMCmKSo,2020-12-02T11:00:05Z
"문장으로 수어를 배워요 ""하루 5문장"" 3차시Learn Korean Sign Language(KSL),5 sentences-Lesson 3",55gFW4nT3jI,2020-11-24T13:00:02Z
질문을 모아모아~ Collect questions,aSZ4hmqZRLg,2020-11-09T10:00:00Z
"기초수어 10과 ""동물"" Basic Sign Language Lesson 10 ""Animals""",SSqeLJLnefc,2020-10-11T14:10:04Z
"문장으로 수어를 배워요 ""하루 5문장"" 2차시Learn Korean Sign Language(KSL),5 sentences-Lesson 2",QZEei0XdnM4,2020-09-30T13:57:04Z
"문장으로 수어를 배워요""하루 5문장"" 1차시Learn Korean Sign Language(KSL),5 sentences-Lesson 1",nrNZwDQhoD8,2020-09-18T12:04:37Z
"기초 수어9과 ""가족"" Basic Sign Language Lesson 9 ""Family""",rE_YxCodzLE,2020-09-01T15:04:31Z
2020 빅맥송 수어버전 Big Mac Song Sign language version,jtm9qu-IL4k,2020-08-24T08:52:26Z
워터파크에서 필요한 수어 배워보아요~ Learn the necessary sign language at the water park~,99bupmJaJP8,2020-08-16T13:35:38Z
"기초수어 8과 ""직업"" Basic Vocabulary Lesson 8 ""Occupation""",7gKSSg0G8ds,2020-08-02T23:12:53Z
"기초수어 7과 ""학교"" Basic Sign Language Lesson 7 ""School""",a48pZYJW_Cg,2020-07-16T10:54:56Z
기초수어(수화) 중간평가~ 1과~6과 단어테스트!,zv3PI2xG9-o,2020-06-10T13:08:52Z
"기초수어6과 ""음식""",cHEc53rIJKw,2020-05-30T03:10:54Z
[쉬어가기] 10월의 어느 멋진날에 수어축가,widvWIrl054,2020-05-12T09:46:17Z
"기초수어(수화) 5과 ""지숫자""[Basic Sign Language 5""number fingering""]",Jv7e35sfPBU,2020-04-27T11:20:24Z
"기초수어(수화) 4과 ""날씨""[Basic Sign Language 4""weather""]",sf2_-4Yq_sU,2020-03-31T10:43:16Z
"기초수어(수화) 단어 3과 ""시제""[Basic Sign Language 3""tense""]",dfMlqdO5Mr0,2020-03-14T02:38:05Z
기초수어(수화) 단어 2과,175zBnyr2Lc,2020-03-04T14:03:58Z
기초 수어(수화)단어 1과,jPkgmuWmjig,2020-02-27T09:37:02Z
코로나 바이러스 예방수칙 (Coronavirus Prevention Methods) 수어로 배워보기,TDR7ale2Pv8,2020-02-07T03:50:47Z
수어  기초단어 퀴즈! [나를 테스트 해보아요],zuYLbhqcGyM,2020-01-27T07:06:47Z
회사에서 필요한 수어,1qZYCBYeFRg,2020-01-16T14:55:04Z
BTS 전하지못한 진심 수어노래,Ppc1Ue6YxJA,2019-12-28T13:14:39Z
나라별 수어(수화)인사 (Sign Language Greetings),4r1NZnawgmc,2019-12-15T08:26:38Z
"손사탕 수어(수화) Q&A ""많은 관심 감사합니다 ~""",FrkvNFqyOUA,2019-11-21T13:15:38Z
방탄소년단(BTS)콘서트 수어(수화)통역가다[연습과정위주],shdIJwNGv_Q,2019-11-07T11:06:18Z
"동백꽃 필 무렵 수어(수화)로 보기 ""까불이는 누굴까요?""",Brbraft7bao,2019-10-18T10:30:44Z
간호사에게 필요한 수어[병원에서],K2fVClwdQnw,2019-10-05T14:41:12Z
[손사탕정보톡톡]농인에 대해서 궁금하다고? (청인 대상 인터뷰),rshMal1sfko,2019-09-25T15:08:56Z
[추석맞이] 수어(수화)로 근황나누기!,Jg9Q7t9Uy1w,2019-09-07T09:37:44Z
[손사탕정보톡톡]유퀴즈~! 수어(수화)통역사편,-kEOF2hV280,2019-08-25T08:16:09Z
자존감 수업 강연 단상수어통역 엿보기!,40b0T5JYdxI,2019-08-18T09:48:51Z
[손사탕정보톡톡]수어(수화)통역사실기시험 꿀팁! 10가지,fzremWtvEyM,2019-08-11T07:31:29Z
여름휴가때 필요한 수화(수어)는?,Kr0YX9sCYIg,2019-08-04T11:54:22Z
수어(수화)문법 중 굴절이란?  1+1효과~~,n2FxpXpbsFc,2019-07-28T12:18:16Z
고양이가 수어(수화)를 한다고?,Uwi_ztibLGc,2019-07-17T14:45:53Z
제주도 직원연수 그리고 농인수어 엿보기,Fw9EW40bGWc,2019-06-16T15:02:17Z
수어(수화)로 시제표현 배우기,rsL1ASYuT9c,2019-06-04T11:16:10Z
손가락으로 한글을?  지문자(지화)  배우기,f58AmgvyLdQ,2019-05-24T10:40:07Z
주민센터에서 필요한 수어(수화),A3BMhgixt5o,2019-05-16T11:11:11Z
은행에서 필요한 수어(수화),qqalY47Y7so,2019-05-04T14:19:29Z
"벚꽃랜드에서 ""수어를 모르는 친구에게 수어로 대화를 해보았다""",0wGDBOuztlQ,2019-04-19T12:15:25Z
수어로 지하철화재 대처방송,GeWutOst9C4,2019-04-05T13:06:37Z
수어(수화) 문법 교육,va4gpZ6zM08,2019-03-22T13:15:25Z
수어(수화)로 색깔 표현,6b7_Qoj07Cc,2019-03-15T09:55:33Z
야 너두 수어할수 있어!,Qz1yd9NvIUw,2019-03-08T10:18:56Z
[1970편]수어(수화)로 인물표현,nCUTV0dsfZo,2019-03-01T03:42:47Z
승무원 안내멘트 수어(수화)로 배워보기,Ey0u4mW3o7o,2019-02-23T03:19:17Z
[극한직업 패러디] 수화통역사 브이로그,VbvTNxpWf8c,2019-02-18T03:35:03Z
수어(수화)로 하는 맛표현,oOdMrpdM7Js,2019-02-09T15:18:13Z
스카이캐슬 수어(수화) 배우기,DbStxu85DCM,2019-02-02T11:04:25Z
병,mqhlB7m5_gs,2019-02-01T03:35:09Z
소화불량,0DLnGEPSR5A,2019-01-29T12:40:36Z
단 음식을 먹지 말고 운동을 하시기 바랍니다.,OT-ktH51xwU,2019-01-28T09:41:04Z
잠을 충분히 주무시고 휴식하시기 바랍니다.,lRElgMkRuYg,2019-01-28T09:39:52Z
주사를 맞고 약을 드시기 바랍니다.,zxDzZWXbdvA,2019-01-28T09:38:30Z
"고혈압, 당뇨약을 복용중이신가요?",axftqo9QGhQ,2019-01-28T09:37:27Z
기침을 하고 감기에 걸린 것 같습니다.,I9TvYIhudSs,2019-01-28T09:36:26Z
허리와 발이 아픕니다.,y17GRhF3zPY,2019-01-28T09:35:27Z
